"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00047965","SANTA ROSA, CA US","2010-08-02","76","50","73"
"USC00047965","SANTA ROSA, CA US","2010-08-03","81","51","78"
"USC00047965","SANTA ROSA, CA US","2010-08-04","78","50","73"
"USC00047965","SANTA ROSA, CA US","2010-08-05","73","50","72"
"USC00047965","SANTA ROSA, CA US","2010-08-06","75","50","73"
"USC00047965","SANTA ROSA, CA US","2010-08-07","73","51","70"
"USC00047965","SANTA ROSA, CA US","2010-08-08","78","52","73"
"USC00047965","SANTA ROSA, CA US","2010-08-09","73","52","71"
"USC00047965","SANTA ROSA, CA US","2010-08-10","72","49","66"
"USC00047965","SANTA ROSA, CA US","2010-08-11","70","50","67"
"USC00047965","SANTA ROSA, CA US","2010-08-12","78","51","77"
"USC00047965","SANTA ROSA, CA US","2010-08-13","74","49","71"
"USC00047965","SANTA ROSA, CA US","2010-08-14","73","51","70"
"USC00047965","SANTA ROSA, CA US","2010-08-15","74","53","71"
"USC00047965","SANTA ROSA, CA US","2010-08-16","78","50","76"
"USC00047965","SANTA ROSA, CA US","2010-08-17","77","51","73"
"USC00047965","SANTA ROSA, CA US","2010-08-18","74","53","73"
"USC00047965","SANTA ROSA, CA US","2010-08-19","83","52","80"
"USC00047965","SANTA ROSA, CA US","2010-08-20","72","52","67"
"USC00047965","SANTA ROSA, CA US","2010-08-21","67","51","65"
"USC00047965","SANTA ROSA, CA US","2010-08-22","85","49","83"
"USC00047965","SANTA ROSA, CA US","2010-08-23","97","54","96"
"USC00047965","SANTA ROSA, CA US","2010-08-24","107","56","106"
"USC00047965","SANTA ROSA, CA US","2010-08-25","103","63","90"
"USC00047965","SANTA ROSA, CA US","2010-08-26","73","55","68"
"USC00047965","SANTA ROSA, CA US","2010-08-27","80","47","74"
"USC00047965","SANTA ROSA, CA US","2010-08-28","74","48","72"
"USC00047965","SANTA ROSA, CA US","2010-08-29","75","49","74"
"USC00047965","SANTA ROSA, CA US","2010-08-30","80","46","75"
"USC00047965","SANTA ROSA, CA US","2010-08-31","84","52","83"
"USC00047965","SANTA ROSA, CA US","2010-09-01","96","52","93"
"USC00047965","SANTA ROSA, CA US","2010-09-02","98","57","96"
"USC00047965","SANTA ROSA, CA US","2010-09-03","86","52","79"
"USC00047965","SANTA ROSA, CA US","2010-09-04","79","50","76"
"USC00047965","SANTA ROSA, CA US","2010-09-05","86","46","85"
"USC00047965","SANTA ROSA, CA US","2010-09-06","93","50","89"
"USC00047965","SANTA ROSA, CA US","2010-09-07","80","49","79"
"USC00047965","SANTA ROSA, CA US","2010-09-08","71","55","69"
"USC00047965","SANTA ROSA, CA US","2010-09-09","76","47","74"
"USC00047965","SANTA ROSA, CA US","2010-09-10","84","49","82"
"USC00047965","SANTA ROSA, CA US","2010-09-11","89","49","88"
"USC00047965","SANTA ROSA, CA US","2010-09-12","74","47","71"
"USC00047965","SANTA ROSA, CA US","2010-09-13","70","53","67"
"USC00047965","SANTA ROSA, CA US","2010-09-14","74","51","71"
"USC00047965","SANTA ROSA, CA US","2010-09-15","75","47","73"
"USC00047965","SANTA ROSA, CA US","2010-09-16","83","49","81"
"USC00047965","SANTA ROSA, CA US","2010-09-17","81","56","73"
"USC00047965","SANTA ROSA, CA US","2010-09-18","77","61","72"
"USC00047965","SANTA ROSA, CA US","2010-09-19","72","60","63"
"USC00047965","SANTA ROSA, CA US","2010-09-20","82","52","81"
"USC00047965","SANTA ROSA, CA US","2010-09-21","75","48","73"
"USC00047965","SANTA ROSA, CA US","2010-09-22","75","46","72"
"USC00047965","SANTA ROSA, CA US","2010-09-23","82","45","81"
"USC00047965","SANTA ROSA, CA US","2010-09-24","92","48","90"
"USC00047965","SANTA ROSA, CA US","2010-09-25","99","51","96"
"USC00047965","SANTA ROSA, CA US","2010-09-26","97","49","96"
"USC00047965","SANTA ROSA, CA US","2010-09-27","103","53","103"
"USC00047965","SANTA ROSA, CA US","2010-09-28","104","54","104"
"USC00047965","SANTA ROSA, CA US","2010-09-29","99","55","91"
"USC00047965","SANTA ROSA, CA US","2010-09-30","76","50","72"
"USC00047965","SANTA ROSA, CA US","2010-10-01","78","56","75"
"USC00047965","SANTA ROSA, CA US","2010-10-02","81","53","80"
"USC00047965","SANTA ROSA, CA US","2010-10-03","66","54","62"
"USC00047965","SANTA ROSA, CA US","2010-10-04","75","48","75"
"USC00047965","SANTA ROSA, CA US","2010-10-05","80","48","74"
"USC00047965","SANTA ROSA, CA US","2010-10-06","75","50","71"
"USC00047965","SANTA ROSA, CA US","2010-10-07","72","54","70"
"USC00047965","SANTA ROSA, CA US","2010-10-08","76","45","74"
"USC00047965","SANTA ROSA, CA US","2010-10-09","84","46","83"
"USC00047965","SANTA ROSA, CA US","2010-10-10","92","46","91"
"USC00047965","SANTA ROSA, CA US","2010-10-11","97","54","96"
"USC00047965","SANTA ROSA, CA US","2010-10-12","95","49","95"
"USC00047965","SANTA ROSA, CA US","2010-10-13","97","50","96"
"USC00047965","SANTA ROSA, CA US","2010-10-14","98","54","91"
"USC00047965","SANTA ROSA, CA US","2010-10-15","89","53","77"
"USC00047965","SANTA ROSA, CA US","2010-10-16","66","50","65"
"USC00047965","SANTA ROSA, CA US","2010-10-17","65","49","56"
"USC00047965","SANTA ROSA, CA US","2010-10-18","70","53","68"
"USC00047965","SANTA ROSA, CA US","2010-10-19","77","46","75"
"USC00047965","SANTA ROSA, CA US","2010-10-20","75","49","68"
"USC00047965","SANTA ROSA, CA US","2010-10-21","69","52","60"
"USC00047965","SANTA ROSA, CA US","2010-10-22","62","55","56"
"USC00047965","SANTA ROSA, CA US","2010-10-23","57","51","56"
"USC00047965","SANTA ROSA, CA US","2010-10-24","63","51","60"
"USC00047965","SANTA ROSA, CA US","2010-10-25","67","45","66"
"USC00047965","SANTA ROSA, CA US","2010-10-26","69","42","68"
"USC00047965","SANTA ROSA, CA US","2010-10-27","64","36","61"
"USC00047965","SANTA ROSA, CA US","2010-10-28","63","38","63"
"USC00047965","SANTA ROSA, CA US","2010-10-29","57","50","56"
"USC00047965","SANTA ROSA, CA US","2010-10-30","58","50","56"
"USC00047965","SANTA ROSA, CA US","2010-10-31","65","50","64"
"USC00047965","SANTA ROSA, CA US","2010-11-01","76","44","74"
"USC00047965","SANTA ROSA, CA US","2010-11-02","80","45","80"
"USC00047965","SANTA ROSA, CA US","2010-11-03","80","47","77"
"USC00047965","SANTA ROSA, CA US","2010-11-04","80","47","76"
"USC00047965","SANTA ROSA, CA US","2010-11-05","65","52","58"
"USC00047965","SANTA ROSA, CA US","2010-11-06","65","57","64"
"USC00047965","SANTA ROSA, CA US","2010-11-07","64","55","58"
"USC00047965","SANTA ROSA, CA US","2010-11-08","64","39","60"
"USC00047965","SANTA ROSA, CA US","2010-11-09","61","38","52"
"USC00047965","SANTA ROSA, CA US","2010-11-10","64","45","62"
"USC00047965","SANTA ROSA, CA US","2010-11-11","72","38","67"
"USC00047965","SANTA ROSA, CA US","2010-11-12","71","38","62"
"USC00047965","SANTA ROSA, CA US","2010-11-13","81","40","75"
"USC00047965","SANTA ROSA, CA US","2010-11-14","84","56","76"
"USC00047965","SANTA ROSA, CA US","2010-11-15","84","49","82"
"USC00047965","SANTA ROSA, CA US","2010-11-16","79","46","74"
"USC00047965","SANTA ROSA, CA US","2010-11-17","75","39","70"
"USC00047965","SANTA ROSA, CA US","2010-11-18","63","42","57"
"USC00047965","SANTA ROSA, CA US","2010-11-19","56","47","47"
"USC00047965","SANTA ROSA, CA US","2010-11-20","53","41","45"
"USC00047965","SANTA ROSA, CA US","2010-11-21","56","38","53"
"USC00047965","SANTA ROSA, CA US","2010-11-22","58","42","54"
"USC00047965","SANTA ROSA, CA US","2010-11-23","54","48","49"
"USC00047965","SANTA ROSA, CA US","2010-11-24","54","28","53"
"USC00047965","SANTA ROSA, CA US","2010-11-25","58","28","54"
"USC00047965","SANTA ROSA, CA US","2010-11-26","56","28","51"
"USC00047965","SANTA ROSA, CA US","2010-11-27","55","43","50"
"USC00047965","SANTA ROSA, CA US","2010-11-28","55","31","54"
"USC00047965","SANTA ROSA, CA US","2010-11-29","59","27","53"
"USC00047965","SANTA ROSA, CA US","2010-11-30",,"33","52"
"USC00047965","SANTA ROSA, CA US","2010-12-01","58","31","56"
"USC00047965","SANTA ROSA, CA US","2010-12-02","55","41","52"
"USC00047965","SANTA ROSA, CA US","2010-12-03","53","45","52"
"USC00047965","SANTA ROSA, CA US","2010-12-04","55","45","54"
"USC00047965","SANTA ROSA, CA US","2010-12-05","58",,"54"
"USC00047965","SANTA ROSA, CA US","2010-12-06","54","50","57"
"USC00047965","SANTA ROSA, CA US","2010-12-07","64","40","56"
"USC00047965","SANTA ROSA, CA US","2010-12-08","56","46","54"
"USC00047965","SANTA ROSA, CA US","2010-12-09","63","50","61"
"USC00047965","SANTA ROSA, CA US","2010-12-10","61","51","60"
"USC00047965","SANTA ROSA, CA US","2010-12-11","68","50","66"
"USC00047965","SANTA ROSA, CA US","2010-12-12","67","50","56"
"USC00047965","SANTA ROSA, CA US","2010-12-13","59","50","57"
"USC00047965","SANTA ROSA, CA US","2010-12-14","58","51","53"
"USC00047965","SANTA ROSA, CA US","2010-12-15","58","38","56"
"USC00047965","SANTA ROSA, CA US","2010-12-16","55","29","50"
"USC00047965","SANTA ROSA, CA US","2010-12-17","48","43","48"
"USC00047965","SANTA ROSA, CA US","2010-12-18","57","46","52"
"USC00047965","SANTA ROSA, CA US","2010-12-19","54","46","52"
"USC00047965","SANTA ROSA, CA US","2010-12-20","52","42","49"
"USC00047965","SANTA ROSA, CA US","2010-12-21","55","45","53"
"USC00047965","SANTA ROSA, CA US","2010-12-22","55","47","55"
"USC00047965","SANTA ROSA, CA US","2010-12-23","58","33","52"
"USC00047965","SANTA ROSA, CA US","2010-12-24","58","34","54"
"USC00047965","SANTA ROSA, CA US","2010-12-25","53","39","49"
"USC00047965","SANTA ROSA, CA US","2010-12-26","53","40","53"
"USC00047965","SANTA ROSA, CA US","2010-12-27","56","39","56"
"USC00047965","SANTA ROSA, CA US","2010-12-28","56","44","50"
"USC00047965","SANTA ROSA, CA US","2010-12-29","55","43","43"
"USC00047965","SANTA ROSA, CA US","2010-12-30","55","28","52"
"USC00047965","SANTA ROSA, CA US","2010-12-31","52","30","44"
"USC00047965","SANTA ROSA, CA US","2011-01-01","45","37","42"
"USC00047965","SANTA ROSA, CA US","2011-01-02","50","40","49"
"USC00047965","SANTA ROSA, CA US","2011-01-03","59","33","53"
"USC00047965","SANTA ROSA, CA US","2011-01-04","57","29","56"
"USC00047965","SANTA ROSA, CA US","2011-01-05","58","27","55"
"USC00047965","SANTA ROSA, CA US","2011-01-06","50","27","48"
"USC00047965","SANTA ROSA, CA US","2011-01-07","48","32","42"
"USC00047965","SANTA ROSA, CA US","2011-01-08","44","35","44"
"USC00047965","SANTA ROSA, CA US","2011-01-09","52","33","50"
"USC00047965","SANTA ROSA, CA US","2011-01-10","50","25","46"
"USC00047965","SANTA ROSA, CA US","2011-01-11","48","36","48"
